day_ahead_price_usd_mwh,load_forecast_mw,hour_of_day,day_of_week,is_weekend,day_ahead_price_lag_1d,day_ahead_price_lag_1d_rolling_mean_24h,timestamp_local,timestamp_utc,target_timestamp,location_id,location,source_time_zone,load_location,load_location_id,weather_station,market,pricing_location,load_data_type,forecast_available_at,prediction_cutoff,hours_before_cutoff,source_archive,source_file,availability_basis,availability_is_proxy,forecast_horizon_hours,day_ahead_price_available_at,target_day_price_available_by_cutoff,previous_day_same_hour_source_timestamp,previous_day_same_hour_price_value,previous_day_same_hour_price_available_at,previous_day_same_hour_price_is_available,loss_component_usd_mwh,congestion_component_usd_mwh,energy_component_usd_mwh,actual_load_mw,observed_at,REPORT_TYPE,temperature_c,dew_point_c,relative_humidity_pct,wind_speed_mps,weather_quality_flagged,weather_value_rejected,weather_missing,weather_imputed
33.16,930,0,2,False,,,2025-01-01 00:00:00-05:00,2025-01-01 05:00:00+00:00,2025-01-01 00:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,40.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 00:00:00-05:00,,,False,1.31,0.0,31.85,958.0416,2025-01-01 00:45:00,FM-15,5.0,5.0,100.0,3.1,False,False,False,False
32.07,889,1,2,False,,,2025-01-01 01:00:00-05:00,2025-01-01 06:00:00+00:00,2025-01-01 01:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,41.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 01:00:00-05:00,,,False,1.26,0.0,30.81,915.9221,2025-01-01 01:45:00,FM-15,5.0,5.0,100.0,1.5,False,False,False,False
30.02,855,2,2,False,,,2025-01-01 02:00:00-05:00,2025-01-01 07:00:00+00:00,2025-01-01 02:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,42.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 02:00:00-05:00,,,False,1.16,0.0,28.86,884.2183,2025-01-01 02:45:00,FM-15,5.0,5.0,100.0,1.5,False,False,False,False
28.28,841,3,2,False,,,2025-01-01 03:00:00-05:00,2025-01-01 08:00:00+00:00,2025-01-01 03:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,43.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 03:00:00-05:00,,,False,1.01,0.0,27.27,864.1147,2025-01-01 03:45:00,FM-15,5.0,5.0,100.0,1.5,False,False,False,False
28.22,839,4,2,False,,,2025-01-01 04:00:00-05:00,2025-01-01 09:00:00+00:00,2025-01-01 04:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,44.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 04:00:00-05:00,,,False,1.03,0.0,27.19,860.9837,2025-01-01 04:45:00,FM-15,5.0,5.0,100.0,2.1,True,False,False,False
30.27,853,5,2,False,,,2025-01-01 05:00:00-05:00,2025-01-01 10:00:00+00:00,2025-01-01 05:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,45.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 05:00:00-05:00,,,False,1.19,0.0,29.08,871.1607,2025-01-01 05:45:00,FM-15,5.0,5.0,100.0,2.1,True,False,False,False
31.07,877,6,2,False,,,2025-01-01 06:00:00-05:00,2025-01-01 11:00:00+00:00,2025-01-01 06:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,46.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 06:00:00-05:00,,,False,1.31,0.0,29.76,899.706,2025-01-01 06:45:00,FM-15,5.0,5.0,100.0,2.1,True,False,False,False
31.05,897,7,2,False,,,2025-01-01 07:00:00-05:00,2025-01-01 12:00:00+00:00,2025-01-01 07:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,47.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 07:00:00-05:00,,,False,1.42,0.0,29.630000000000003,925.1161,2025-01-01 07:45:00,FM-15,5.0,5.0,100.0,2.1,True,False,False,False
33.46,913,8,2,False,,,2025-01-01 08:00:00-05:00,2025-01-01 13:00:00+00:00,2025-01-01 08:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,48.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 08:00:00-05:00,,,False,1.56,0.0,31.9,938.1813,2025-01-01 08:45:00,FM-15,6.0,5.0,93.0,2.1,True,False,False,False
34.0,933,9,2,False,,,2025-01-01 09:00:00-05:00,2025-01-01 14:00:00+00:00,2025-01-01 09:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,49.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 09:00:00-05:00,,,False,1.62,0.0,32.38,928.873,2025-01-01 09:45:00,FM-15,6.0,6.0,100.0,3.1,False,False,False,False
37.0,943,10,2,False,,,2025-01-01 10:00:00-05:00,2025-01-01 15:00:00+00:00,2025-01-01 10:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,50.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 10:00:00-05:00,,,False,1.73,0.0,35.27,941.4483,2025-01-01 10:45:00,FM-15,,,,,False,True,True,False
37.38,949,11,2,False,,,2025-01-01 11:00:00-05:00,2025-01-01 16:00:00+00:00,2025-01-01 11:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,51.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 11:00:00-05:00,,,False,1.91,0.0,35.470000000000006,1022.7115,2025-01-01 11:45:00,FM-15,,,,,False,True,True,False
38.14,962,12,2,False,,,2025-01-01 12:00:00-05:00,2025-01-01 17:00:00+00:00,2025-01-01 12:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,52.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 12:00:00-05:00,,,False,1.92,0.0,36.22,1062.9042,2025-01-01 12:45:00,FM-15,8.0,5.0,82.0,8.2,False,False,False,False
38.72,981,13,2,False,,,2025-01-01 13:00:00-05:00,2025-01-01 18:00:00+00:00,2025-01-01 13:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,53.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 13:00:00-05:00,,,False,2.05,0.0,36.67,1080.4335,2025-01-01 13:45:00,FM-15,7.0,4.0,81.0,8.2,False,False,False,False
39.14,1018,14,2,False,,,2025-01-01 14:00:00-05:00,2025-01-01 19:00:00+00:00,2025-01-01 14:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,54.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 14:00:00-05:00,,,False,2.11,0.0,37.03,1107.5929,2025-01-01 14:45:00,FM-15,6.0,3.0,81.0,11.8,False,False,False,False
39.05,1064,15,2,False,,,2025-01-01 15:00:00-05:00,2025-01-01 20:00:00+00:00,2025-01-01 15:00:00-05:00,61758,HUD VL,EST,HUD VL,61758,USW00014714,NYISO,HUD VL,actual_integrated,2024-12-30 07:40:04-05:00,2024-12-31 05:00:00-05:00,21.33222222222222,20241201isolf_csv.zip,20241231isolf.csv,zip_entry_last_modified,True,55.33222222222222,2025-01-01 00:00:00-05:00,False,2024-12-31 15:00:00-05:00,,,False,2.25,0.0,36.8,1125.0406,2025-01-01 15:45:00,FM-15,4.0,1.0,81.0,9.8,False,False,False,False
